Athens,2022-08-29,26.133333206176758
Athens,2022-08-30,25.299999872843426
Athens,2022-08-31,25.733333587646484
Athens,2022-09-01,25.400000254313152
Athens,2022-09-02,25.099999745686848
Athens,2022-09-03,24.700000762939453
Athens,2022-09-04,29.166666666666668
Berlin,2022-08-29,13.766666412353516
Berlin,2022-08-30,13.5
Berlin,2022-08-31,12.966666539510092
Berlin,2022-09-01,12.366666475931803
Berlin,2022-09-02,13.5
Berlin,2022-09-03,14.399999936421713
Berlin,2022-09-04,17.799999872843426
Oslo,2022-08-29,13.100000063578287
Oslo,2022-08-30,12.966666539510092
Oslo,2022-08-31,13.699999809265137
Oslo,2022-09-01,12.466666539510092
Oslo,2022-09-02,12.899999936421713
Oslo,2022-09-03,12.399999936421713
Oslo,2022-09-04,18.099999745686848
